iter	Passed	Remaining
0	62	62551
1	236	118045
2	443	147320
3	499	124281
4	726	144566
5	959	159039
6	1177	166973
7	1263	156638
8	1351	148822
9	1555	153955
10	1657	148985
11	1724	141956
12	1792	136112
13	1951	137465
14	2156	141633
15	2348	144420
16	2539	146856
17	2727	148801
18	2768	142957
19	2930	143615
20	3013	140482
21	3091	137439
22	3282	139438
23	3350	136268
24	3517	137196
25	3706	138868
26	3870	139481
27	4046	140488
28	4165	139471
29	4326	139882
30	4378	136870
31	4485	135695
32	4635	135820
33	4788	136061
34	4970	137052
35	5167	138361
36	5374	139878
37	5491	139019
38	5665	139599
39	5748	137962
40	5854	136927
41	6033	137626
42	6219	138422
43	6410	139282
44	6441	136701
45	6620	137300
46	6793	137750
47	6968	138214
48	7051	136855
49	7166	136158
50	7358	136930
51	7419	135265
52	7590	135623
53	7751	135786
54	7913	135965
55	7956	134123
56	8016	132620
57	8182	132901
58	8294	132291
59	8379	131275
60	8477	130504
61	8648	130845
62	8810	131034
63	8915	130384
64	9091	130773
65	9155	129569
66	9247	128774
67	9288	127305
68	9451	127522
69	9616	127759
70	9783	128009
71	9920	127869
72	10117	128479
73	10166	127223
74	10340	127528
75	10471	127315
76	10552	126497
77	10698	126459
78	10871	126740
79	11010	126622
80	11169	126723
81	11272	126197
82	11335	125236
83	11515	125578
84	11677	125707
85	11837	125808
86	12004	125974
87	12141	125828
88	12299	125894
89	12365	125025
90	12443	124295
91	12480	123177
92	12562	122518
93	12724	122646
94	12769	121641
95	12882	121314
96	12959	120644
97	13076	120361
98	13229	120400
99	13276	119486
100	13321	118574
101	13382	117820
102	13477	117376
103	13573	116942
104	13657	116411
105	13820	116558
106	13977	116651
107	14017	115778
108	14187	115974
109	14349	116100
110	14451	115744
111	14679	116388
112	14849	116558
113	14898	115793
114	15069	115967
115	15112	115167
116	15193	114661
117	15232	113859
118	15272	113065
119	15311	112280
120	15480	112456
121	15521	111705
122	15666	111703
123	15779	111476
124	15921	111451
125	16083	111560
126	16168	111143
127	16281	110916
128	16337	110308
129	16486	110332
130	16650	110451
131	16798	110464
132	16862	109922
133	16977	109719
134	17145	109859
135	17315	110001
136	17492	110187
137	17553	109646
138	17696	109618
139	17738	108966
140	17902	109062
141	18055	109095
142	18101	108481
143	18164	107975
144	18201	107327
145	18367	107436
146	18407	106813
147	18510	106560
148	18683	106708
149	18859	106872
150	19031	107002
151	19195	107092
152	19339	107064
153	19498	107115
154	19656	107158
155	19819	107227
156	19977	107265
157	20039	106791
158	20184	106763
159	20286	106506
160	20362	106113
161	20525	106176
162	20693	106259
163	20735	105700
164	20899	105766
165	20943	105224
166	21107	105282
167	21249	105233
168	21311	104790
169	21434	104651
170	21533	104391
171	21701	104469
172	21795	104190
173	21834	103652
174	22008	103755
175	22135	103633
176	22300	103692
177	22329	103117
178	22500	103202
179	22662	103238
180	22725	102828
181	22883	102850
182	22923	102343
183	23077	102342
184	23240	102384
185	23409	102448
186	23577	102505
187	23738	102528
188	23834	102272
189	23910	101935
190	24072	101961
191	24189	101796
192	24361	101865
193	24409	101414
194	24433	100868
195	24456	100319
196	24606	100301
197	24778	100364
198	24823	99917
199	25005	100023
200	25047	99567
201	25090	99121
202	25259	99173
203	25336	98863
204	25425	98602
205	25607	98702
206	25639	98222
207	25826	98338
208	25958	98244
209	26116	98246
210	26176	97881
211	26358	97975
212	26384	97486
213	26444	97128
214	26500	96757
215	26661	96771
216	26832	96818
217	26991	96822
218	27048	96461
219	27218	96503
220	27383	96523
221	27528	96474
222	27652	96351
223	27822	96385
224	27995	96427
225	28172	96483
226	28333	96484
227	28508	96528
228	28677	96550
229	28800	96420
230	28900	96211
231	29062	96205
232	29229	96219
233	29408	96267
234	29583	96303
235	29752	96316
236	29795	95922
237	29955	95909
238	30111	95877
239	30282	95895
240	30470	95962
241	30633	95952
242	30787	95910
243	30958	95920
244	31024	95607
245	31187	95590
246	31359	95601
247	31524	95590
248	31693	95589
249	31863	95590
250	32024	95562
251	32177	95510
252	32343	95495
253	32509	95481
254	32675	95464
255	32833	95421
256	33003	95414
257	33173	95405
258	33355	95429
259	33530	95432
260	33707	95439
261	33881	95437
262	34050	95418
263	34211	95377
264	34372	95334
265	34547	95330
266	34709	95288
267	34878	95264
268	35051	95252
269	35234	95263
270	35429	95307
271	35614	95322
272	35783	95291
273	35956	95272
274	36120	95227
275	36298	95216
276	36467	95185
277	36635	95147
278	36800	95099
279	36972	95072
280	37140	95032
281	37311	94998
282	37473	94942
283	37646	94910
284	37821	94884
285	37989	94841
286	38154	94787
287	38330	94760
288	38485	94682
289	38656	94640
290	38825	94596
291	38979	94511
292	39152	94474
293	39319	94420
294	39485	94364
295	39647	94296
296	39807	94223
297	39959	94133
298	40133	94091
299	40302	94039
300	40455	93947
301	40625	93896
302	40802	93859
303	40970	93800
304	41143	93752
305	41315	93701
306	41486	93649
307	41657	93593
308	41902	93704
309	42058	93614
310	42263	93633
311	42432	93569
312	42600	93504
313	42775	93452
314	42934	93365
315	43108	93311
316	43284	93258
317	43452	93190
318	43622	93124
319	43791	93056
320	43951	92968
321	44119	92897
322	44293	92838
323	44455	92752
324	44617	92666
325	44788	92599
326	44967	92548
327	45140	92482
328	45320	92432
329	45495	92369
330	45656	92278
331	45829	92210
332	46000	92139
333	46164	92052
334	46329	91968
335	46503	91899
336	46657	91792
337	46835	91731
338	47012	91667
339	47184	91593
340	47358	91522
341	47543	91472
342	47723	91412
343	47885	91315
344	48039	91206
345	48206	91118
346	48368	91021
347	48536	90936
348	48703	90849
349	48854	90730
350	49006	90613
351	49168	90513
352	49336	90427
353	49500	90330
354	49662	90231
355	49830	90143
356	50003	90061
357	50182	89992
358	50335	89875
359	50501	89779
360	50668	89686
361	50836	89596
362	50990	89479
363	51158	89386
364	51329	89298
365	51500	89210
366	51669	89119
367	51858	89062
368	52070	89042
369	52264	88991
370	52428	88888
371	52595	88790
372	52766	88697
373	52934	88601
374	53129	88548
375	53294	88445
376	53471	88361
377	53646	88274
378	53810	88169
379	53982	88076
380	54161	87994
381	54333	87900
382	54508	87811
383	54690	87732
384	54863	87639
385	55033	87540
386	55203	87441
387	55370	87337
388	55544	87244
389	55716	87146
390	55897	87062
391	56062	86953
392	56217	86829
393	56380	86716
394	56534	86591
395	56705	86490
396	56874	86386
397	57033	86266
398	57208	86170
399	57368	86052
400	57533	85941
401	57690	85818
402	57862	85716
403	58030	85609
404	58201	85505
405	58369	85397
406	58548	85305
407	58720	85202
408	58964	85202
409	59150	85118
410	59325	85019
411	59481	84891
412	59645	84774
413	59818	84670
414	59990	84565
415	60159	84455
416	60337	84357
417	60506	84246
418	60662	84117
419	60851	84032
420	61012	83909
421	61185	83803
422	61359	83698
423	61524	83580
424	61690	83464
425	61876	83373
426	62046	83261
427	62220	83154
428	62378	83025
429	62546	82910
430	62706	82784
431	62877	82672
432	63048	82560
433	63224	82453
434	63381	82323
435	63546	82202
436	63719	82091
437	63887	81974
438	64053	81853
439	64224	81739
440	64377	81603
441	64551	81492
442	64718	81373
443	64881	81248
444	65050	81130
445	65229	81024
446	65402	80912
447	65575	80798
448	65745	80680
449	65921	80570
450	66093	80455
451	66262	80335
452	66415	80197
453	66576	80067
454	66741	79943
455	66916	79829
456	67085	79709
457	67243	79575
458	67410	79453
459	67566	79317
460	67730	79190
461	67907	79077
462	68063	78941
463	68233	78821
464	68400	78697
465	68570	78576
466	68736	78450
467	68904	78326
468	69066	78196
469	69238	78077
470	69407	77954
471	69572	77826
472	69759	77724
473	69959	77634
474	70160	77546
475	70386	77483
476	70622	77433
477	70925	77454
478	71105	77339
479	71278	77218
480	71454	77099
481	71632	76982
482	71793	76847
483	71963	76720
484	72137	76599
485	72312	76478
486	72484	76354
487	72646	76219
488	72829	76106
489	73012	75992
490	73185	75868
491	73355	75741
492	73525	75613
493	73700	75490
494	73858	75350
495	74025	75219
496	74190	75086
497	74366	74964
498	74530	74829
499	74691	74691
500	74857	74558
501	75036	74438
502	75216	74319
503	75392	74195
504	75567	74071
505	75739	73943
506	75915	73818
507	76094	73697
508	76316	73617
509	76493	73493
510	76673	73372
511	76868	73264
512	77042	73137
513	77216	73010
514	77387	72879
515	77580	72769
516	77772	72658
517	77935	72519
518	78115	72396
519	78296	72273
520	78536	72204
521	78729	72092
522	78902	71962
523	79083	71839
524	79247	71699
525	79417	71566
526	79583	71429
527	79750	71291
528	79916	71154
529	80133	71062
530	80342	70961
531	80519	70833
532	80681	70691
533	80849	70553
534	81006	70407
535	81186	70280
536	81354	70143
537	81524	70007
538	81702	69879
539	81853	69726
540	82028	69595
541	82227	69484
542	82399	69349
543	82576	69218
544	82733	69070
545	82929	68956
546	83104	68823
547	83285	68694
548	83467	68567
549	83661	68450
550	83843	68322
551	84012	68183
552	84184	68047
553	84363	67916
554	84535	67781
555	84716	67651
556	84956	67568
557	85228	67510
558	85444	67407
559	85639	67287
560	85807	67147
561	85974	67004
562	86181	66894
563	86361	66761
564	86532	66622
565	86710	66488
566	86874	66343
567	87053	66209
568	87235	66078
569	87400	65933
570	87570	65792
571	87730	65644
572	87903	65506
573	88076	65367
574	88234	65216
575	88430	65094
576	88643	64984
577	88841	64863
578	89046	64747
579	89235	64618
580	89441	64502
581	89634	64376
582	89830	64252
583	90027	64129
584	90227	64007
585	90424	63883
586	90623	63760
587	90817	63633
588	91002	63500
589	91184	63365
590	91383	63241
591	91576	63113
592	91776	62989
593	91972	62863
594	92164	62733
595	92353	62601
596	92531	62462
597	92715	62326
598	92926	62209
599	93125	62083
600	93319	61954
601	93510	61822
602	93801	61756
603	93976	61613
604	94171	61483
605	94374	61358
606	94584	61238
607	94817	61132
608	95019	61005
609	95241	60891
610	95455	60772
611	95653	60642
612	95853	60514
613	96067	60394
614	96285	60276
615	96489	60149
616	96712	60033
617	96915	59905
618	97150	59797
619	97344	59662
620	97537	59527
621	97731	59393
622	97921	59256
623	98102	59113
624	98315	58989
625	98513	58856
626	98729	58733
627	98926	58599
628	99127	58468
629	99323	58332
630	99531	58204
631	99743	58078
632	99958	57953
633	100159	57821
634	100359	57686
635	100575	57562
636	100765	57422
637	100989	57301
638	101177	57159
639	101372	57022
640	101570	56885
641	101791	56762
642	101971	56615
643	102170	56479
644	102386	56352
645	102585	56215
646	102785	56079
647	102983	55941
648	103195	55811
649	103397	55675
650	103592	55536
651	103786	55395
652	103979	55254
653	104171	55112
654	104355	54965
655	104539	54819
656	104737	54680
657	104929	54537
658	105131	54400
659	105332	54262
660	105507	54110
661	105690	53962
662	105877	53817
663	106060	53669
664	106253	53526
665	106451	53385
666	106630	53235
667	106826	53093
668	107018	52949
669	107202	52801
670	107384	52652
671	107558	52499
672	107751	52354
673	107927	52202
674	108120	52057
675	108314	51913
676	108512	51771
677	108708	51628
678	108882	51474
679	109072	51328
680	109271	51186
681	109480	51048
682	109684	50907
683	109858	50753
684	110049	50606
685	110247	50463
686	110424	50310
687	110629	50169
688	110832	50027
689	111031	49883
690	111223	49736
691	111416	49589
692	111607	49442
693	111814	49301
694	112011	49155
695	112221	49016
696	112480	48897
697	112770	48791
698	113013	48665
699	113221	48523
700	113407	48372
701	113596	48221
702	113798	48077
703	114067	47960
704	114276	47817
705	114466	47667
706	114689	47530
707	114883	47381
708	115068	47228
709	115260	47078
710	115469	46934
711	115668	46787
712	115842	46629
713	116034	46478
714	116226	46327
715	116415	46175
716	116612	46026
717	116795	45872
718	116994	45723
719	117186	45572
720	117370	45417
721	117538	45257
722	117728	45105
723	117936	44959
724	118115	44802
725	118303	44648
726	118490	44495
727	118679	44341
728	118862	44186
729	119042	44029
730	119254	43884
731	119454	43734
732	119666	43589
733	119897	43450
734	120123	43309
735	120410	43190
736	120610	43040
737	120815	42891
738	121021	42742
739	121211	42587
740	121400	42432
741	121578	42274
742	121788	42125
743	121988	41974
744	122172	41817
745	122377	41667
746	122553	41507
747	122739	41350
748	122928	41195
749	123128	41042
750	123320	40887
751	123505	40730
752	123687	40572
753	123881	40417
754	124078	40263
755	124283	40112
756	124486	39960
757	124668	39801
758	124864	39647
759	125059	39492
760	125265	39340
761	125429	39176
762	125621	39020
763	125797	38858
764	125977	38699
765	126152	38537
766	126326	38375
767	126519	38219
768	126710	38062
769	126908	37907
770	127100	37750
771	127289	37593
772	127484	37437
773	127674	37279
774	127868	37123
775	128073	36969
776	128272	36814
777	128481	36661
778	128676	36505
779	128848	36341
780	129030	36181
781	129208	36019
782	129403	35862
783	129596	35705
784	129775	35543
785	129967	35385
786	130170	35230
787	130357	35070
788	130541	34910
789	130732	34751
790	130907	34588
791	131106	34431
792	131294	34272
793	131483	34112
794	131677	33954
795	131872	33796
796	132062	33636
797	132255	33478
798	132421	33312
799	132612	33153
800	132800	32993
801	132991	32833
802	133201	32678
803	133378	32515
804	133552	32351
805	133729	32187
806	133905	32024
807	134107	31867
808	134344	31717
809	134528	31556
810	134737	31399
811	134966	31248
812	135141	31084
813	135350	30927
814	135546	30768
815	135739	30607
816	135923	30445
817	136142	30290
818	136332	30129
819	136540	29972
820	136737	29812
821	136942	29654
822	137143	29494
823	137345	29336
824	137533	29173
825	137734	29014
826	137896	28846
827	138078	28682
828	138251	28517
829	138422	28351
830	138606	28188
831	138799	28026
832	138977	27862
833	139176	27701
834	139365	27539
835	139565	27378
836	139775	27220
837	139947	27054
838	140144	26893
839	140329	26729
840	140508	26564
841	140707	26403
842	140894	26240
843	141059	26072
844	141247	25909
845	141452	25749
846	141645	25586
847	141824	25421
848	142006	25256
849	142193	25092
850	142387	24930
851	142562	24764
852	142747	24600
853	142959	24440
854	143160	24278
855	143356	24115
856	143528	23949
857	143726	23786
858	143908	23621
859	144083	23455
860	144273	23291
861	144467	23128
862	144680	22967
863	144864	22802
864	145044	22637
865	145215	22469
866	145410	22306
867	145616	22144
868	145807	21980
869	145989	21814
870	146178	21649
871	146368	21485
872	146553	21319
873	146748	21155
874	146930	20990
875	147122	20825
876	147304	20659
877	147487	20493
878	147747	20338
879	147938	20173
880	148124	20007
881	148312	19842
882	148515	19678
883	148690	19511
884	148877	19345
885	149069	19180
886	149254	19014
887	149467	18851
888	149650	18685
889	149822	18517
890	150025	18353
891	150220	18188
892	150406	18021
893	150571	17853
894	150758	17686
895	150946	17520
896	151124	17353
897	151325	17188
898	151499	17020
899	151687	16854
900	151876	16687
901	152063	16521
902	152277	16357
903	152464	16190
904	152658	16024
905	152850	15858
906	153051	15693
907	153264	15528
908	153443	15361
909	153630	15194
910	153811	15026
911	154023	14861
912	154202	14693
913	154375	14525
914	154561	14358
915	154735	14189
916	154930	14023
917	155131	13857
918	155316	13689
919	155506	13522
920	155696	13355
921	155903	13189
922	156097	13022
923	156286	12854
924	156484	12687
925	156670	12520
926	156852	12351
927	157036	12183
928	157219	12015
929	157413	11848
930	157602	11680
931	157793	11512
932	158000	11346
933	158207	11179
934	158380	11010
935	158550	10841
936	158747	10673
937	158936	10505
938	159125	10337
939	159320	10169
940	159510	10001
941	159690	9832
942	159871	9663
943	160062	9495
944	160252	9326
945	160452	9159
